-[ RECORD 1 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 1
title            | Pointless Impressions Logo
description      | Main image for Pointless Impressions website.
image            | image/upload/pointless-impressions-staging/site_assets/pointless_impressions_logo.png
alt_text         | Pointless Impressions logo
uploaded_at      | 2025-10-31 00:00:00+00
artwork_id       | 
asset_identifier | pointless_impressions_logo
photo_type       | site_asset
uploaded_by_id   | 1
-[ RECORD 2 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 2
title            | Pointless Impressions Logo White Background
description      | Main image for Pointless Impressions website.
image            | image/upload/pointless-impressions-staging/site_assets/pointless_impressions_logo_white_bg.png
alt_text         | Pointless Impressions logo with white background
uploaded_at      | 2025-10-31 00:00:00+00
artwork_id       | 
asset_identifier | pointless_impressions_logo_white_bg
photo_type       | site_asset
uploaded_by_id   | 1
-[ RECORD 3 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 3
title            | Placeholder Image
description      | Placeholder image for when no other image is available.
image            | image/upload/pointless-impressions-staging/site_assets/noimage.png
alt_text         | Placeholder image with camera icon
uploaded_at      | 2025-10-31 00:00:00+00
artwork_id       | 
asset_identifier | placeholder_image
photo_type       | site_asset
uploaded_by_id   | 1
-[ RECORD 4 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 4
title            | City Icons 01 Framed
description      | City Icons 01 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_01_framed.png
alt_text         | City Icons 01 Framed Artwork
uploaded_at      | 2025-11-01 10:00:00+00
artwork_id       | 1
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 5 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 5
title            | City Icons 01
description      | City Icons 01 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_01.png
alt_text         | City Icons 01 Artwork
uploaded_at      | 2025-11-01 11:00:00+00
artwork_id       | 1
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 6 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 6
title            | City Icons 02 Framed
description      | City Icons 02 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_02_framed.png
alt_text         | City Icons 02 Framed Artwork
uploaded_at      | 2025-11-01 12:00:00+00
artwork_id       | 2
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 7 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 7
title            | City Icons 02
description      | City Icons 02 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_02.png
alt_text         | City Icons 02 Artwork
uploaded_at      | 2025-11-01 13:00:00+00
artwork_id       | 2
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 8 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 8
title            | City Icons 03 Framed
description      | City Icons 03 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_03_framed.png
alt_text         | City Icons 03 Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 3
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 9 ]----+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 9
title            | City Icons 03
description      | City Icons 03 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_03.png
alt_text         | City Icons 03 Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 3
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 10 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 10
title            | City Icons 04 Framed
description      | City Icons 04 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_04_framed.png
alt_text         | City Icons 04 Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 4
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 11 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 11
title            | City Icons 04
description      | City Icons 04 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_04.png
alt_text         | City Icons 04 Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 4
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 12 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 12
title            | City Icons 05 Framed
description      | City Icons 05 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_05_framed.png
alt_text         | City Icons 05 Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 5
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 13 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 13
title            | City Icons 05
description      | City Icons 05 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_icons_05.png
alt_text         | City Icons 05 Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 5
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 14 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 14
title            | City Modernity Framed
description      | City Modernity Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_modernity_01_framed.png
alt_text         | City Modernity Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 6
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 15 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 15
title            | City Modernity
description      | City Modernity Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_modernity_01.png
alt_text         | City Modernity Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 6
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 16 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 16
title            | City Saints 01 Framed
description      | City Saints 01 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_saints_01_framed.png
alt_text         | City Saints 01 Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 7
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 17 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 17
title            | City Saints 01
description      | City Saints 01 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_saints_01.png
alt_text         | City Saints 01 Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 7
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 18 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 18
title            | City Saints 02 Framed
description      | City Saints 02 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_saints_02_framed.png
alt_text         | City Saints 02 Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 8
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 19 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 19
title            | City Saints 02
description      | City Saints 02 Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_saints_02.png
alt_text         | City Saints 02 Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 8
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 20 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 20
title            | City The Buzz Framed
description      | City The Buzz Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_the_buzz_01_framed.png
alt_text         | City The Buzz Framed Artwork
uploaded_at      | 2025-11-01 14:00:00+00
artwork_id       | 9
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 21 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 21
title            | City The Buzz
description      | City The Buzz Artwork
image            | image/upload/pointless-impressions-staging/artwork/city_the_buzz_01.png
alt_text         | City The Buzz Artwork
uploaded_at      | 2025-11-01 15:00:00+00
artwork_id       | 9
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 22 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 22
title            | Digital Abstract Frames
description      | Digital Abstract Frames Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_abstract_frames.png
alt_text         | Digital Abstract Frames Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 10
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 23 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 23
title            | Digital Abstract
description      | Digital Abstract Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_abstract.png
alt_text         | Digital Abstract Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 10
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 24 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 24
title            | Digital Dotty Framed
description      | Digital Dotty Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_dotty_framed.png
alt_text         | Digital Dotty Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 11
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 25 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 25
title            | Digital Dotty
description      | Digital Dotty Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_dotty.png
alt_text         | Digital Dotty Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 11
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 26 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 26
title            | Digital Mixing It Framed
description      | Digital Mixing It Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_mixing_it_framed.png
alt_text         | Digital Mixing It Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 12
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 27 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 27
title            | Digital Mixing It
description      | Digital Mixing It Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_mixing_it.png
alt_text         | Digital Mixing It Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 12
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 28 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 28
title            | Digital Semis Framed
description      | Digital Semis Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_semis_framed.png
alt_text         | Digital Semis Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 13
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 29 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 29
title            | Digital Semis
description      | Digital Semis Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_semis.png
alt_text         | Digital Semis Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 13
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 30 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 30
title            | Digital Trucking Framed
description      | Digital Trucking Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_trucking_framed.png
alt_text         | Digital Trucking Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 14
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 31 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 31
title            | Digital Trucking
description      | Digital Trucking Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_trucking.png
alt_text         | Digital Trucking Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 14
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 32 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 32
title            | Digital Turrets Framed
description      | Digital Turrets Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_turrets_framed.png
alt_text         | Digital Turrets Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 15
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 33 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 33
title            | Digital Turrets
description      | Digital Turrets Artwork
image            | image/upload/pointless-impressions-staging/artwork/digital_turrets.png
alt_text         | Digital Turrets Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 15
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 34 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 34
title            | Gardens Bending Grass 01 Framed
description      | Gardens Bending Grass 01 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_bending_grass_01_framed.png
alt_text         | Gardens Bending Grass 01 Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 16
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 35 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 35
title            | Gardens Bending Grass 01
description      | Gardens Bending Grass 01 Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_bending_grass_01.png
alt_text         | Gardens Bending Grass 01 Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 16
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 36 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 36
title            | Gardens Bending Grass 02 Framed
description      | Gardens Bending Grass 02 Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_bending_grass_02_framed.png
alt_text         | Gardens Bending Grass 02 Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 17
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 37 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 37
title            | Gardens Bending Grass 02
description      | Gardens Bending Grass 02 Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_bending_grass_02.png
alt_text         | Gardens Bending Grass 02 Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 17
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 38 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 38
title            | Gardens The Hive Framed
description      | Gardens The Hive Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_the_hive_02_framed.png
alt_text         | Gardens The Hive Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 18
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 39 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 39
title            | Gardens The Hive
description      | Gardens The Hive Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_the_hive_02.png
alt_text         | Gardens The Hive Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 18
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 40 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 40
title            | Gardens The Sunrise Framed
description      | Gardens The Sunrise Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_the_sunrise_01_framed.png
alt_text         | Gardens The Sunrise Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 19
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 41 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 41
title            | Gardens The Sunrise
description      | Gardens The Sunrise Artwork
image            | image/upload/pointless-impressions-staging/artwork/gardens_the_sunrise_01.png
alt_text         | Gardens The Sunrise Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 19
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 42 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 42
title            | Landscape Foreign Shores Chile Framed
description      | Landscape Foreign Shores Chile Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/landscape_foreign_shores_chile_01_framed.png
alt_text         | Landscape Foreign Shores Chile Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 20
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 43 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 43
title            | Landscape Foreign Shores Chile
description      | Landscape Foreign Shores Chile Artwork
image            | image/upload/pointless-impressions-staging/artwork/landscape_foreign_shores_chile_01.png
alt_text         | Landscape Foreign Shores Chile Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 20
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 44 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 44
title            | London Shard Of Glass Framed
description      | London Shard Of Glass Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/london_shard_of_glass_01_framed.png
alt_text         | London Shard Of Glass Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 21
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 45 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 45
title            | London Shard Of Glass
description      | London Shard Of Glass Artwork
image            | image/upload/pointless-impressions-staging/artwork/london_shard_of_glass_01.png
alt_text         | London Shard Of Glass Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 21
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 46 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 46
title            | Painting Autumn Reflections Framed
description      | Painting Autumn Reflections Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_autumn_reflections_01_framed.png
alt_text         | Painting Autumn Reflections Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 22
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 47 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 47
title            | Painting Autumn Reflections
description      | Painting Autumn Reflections Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_autumn_reflections_01.png
alt_text         | Painting Autumn Reflections Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 22
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 48 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 48
title            | Painting Scottish Hills Framed
description      | Painting Scottish Hills Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_scottish_hills_framed.png
alt_text         | Painting Scottish Hills Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 23
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 49 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 49
title            | Painting Scottish Hills
description      | Painting Scottish Hills Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_scottish_hills.png
alt_text         | Painting Scottish Hills Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 23
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 50 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 50
title            | Painting The Bear Framed
description      | Painting The Bear Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_bear_framed.png
alt_text         | Painting The Bear Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 24
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 51 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 51
title            | Painting The Bear
description      | Painting The Bear Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_bear.png
alt_text         | Painting The Bear Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 24
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 52 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 52
title            | Painting The Elephant Framed
description      | Painting The Elephant Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_elephant_01_framed.png
alt_text         | Painting The Elephant Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 25
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 53 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 53
title            | Painting The Elephant
description      | Painting The Elephant Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_elephant_01.png
alt_text         | Painting The Elephant Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 25
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 54 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 54
title            | Painting The Giraffe Framed
description      | Painting The Giraffe Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_giraffe_framed.png
alt_text         | Painting The Giraffe Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 26
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 55 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 55
title            | Painting The Giraffe
description      | Painting The Giraffe Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_giraffe.png
alt_text         | Painting The Giraffe Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 26
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 56 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 56
title            | Painting The Lion Framed
description      | Painting The Lion Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_lion_framed.png
alt_text         | Painting The Lion Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 27
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 57 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 57
title            | Painting The Lion
description      | Painting The Lion Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_lion.png
alt_text         | Painting The Lion Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 27
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 58 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 58
title            | Painting The Rabbit Framed
description      | Painting The Rabbit Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_rabbit_framed.png
alt_text         | Painting The Rabbit Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 28
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 59 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 59
title            | Painting The Rabbit
description      | Painting The Rabbit Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_rabbit.png
alt_text         | Painting The Rabbit Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 28
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 60 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 60
title            | Painting The Rhino Framed
description      | Painting The Rhino Framed Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_rhino_framed.png
alt_text         | Painting The Rhino Framed Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 29
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 61 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 61
title            | Painting The Rhino
description      | Painting The Rhino Artwork
image            | image/upload/pointless-impressions-staging/artwork/painting_the_rhino.png
alt_text         | Painting The Rhino Artwork
uploaded_at      | 2025-11-01 16:00:00+00
artwork_id       | 29
asset_identifier | 
photo_type       | artwork
uploaded_by_id   | 7
-[ RECORD 62 ]---+-----------------------------------------------------------------------------------------------------------------------------------------------------
id               | 62
title            | Pointillism Always A Child 01 Framed
description      | Pointillism Always A Child 01 Framed Artwork
